trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-51.33140400731449,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-145.4007391924422,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,4,-118.62798408659083,"{0: 6, 1: 3, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-71.62306457837816,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-86.657393984929,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-60.36514322909675,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",35,0,-157.78793782966895,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-108.29761045867241,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-68.49870848203247,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-68.83092113364417,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-92.18655908684586,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-111.21252795996729,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-190.11078084851664,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-100.41913404686798,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-156.39115061526107,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-115.99659478290171,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-125.15873574288483,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,17,3.613993433556634,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-157.14627220142137,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",35,0,-167.45985637218942,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-113.635377359643,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,8,-110.88229172012613,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 2}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-183.93977801716161,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",35,0,-192.13393733876552,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-247.9534690886315,"{0: 9, 1: 7, 2: 4, 3: 1, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-47.134993858546856,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-155.69764557794406,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-82.4886560646256,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-98.57101018235304,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-83.73772685299144,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-157.36472553523376,"{0: 6, 1: 5, 2: 6, 3: 2, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-190.57513018520262,"{0: 15, 1: 3, 2: 1, 3: 3, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-108.63999596834844,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",35,0,-120.73719853711198,"{0: 20, 1: 2, 2: 12, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,8,-101.08012297566917,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-215.54956362499883,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,3,-73.90447090020389,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-257.74719741969807,"{0: 12, 1: 9, 2: 4, 3: 1, 4: 4}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,14,0.03880083552917868,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,2,-30.848356774454338,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-81.46516609760201,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-95.86053497204655,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-214.6803184123422,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,8,-70.37193446286246,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-99.9538645200126,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-199.839323090347,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,0,-73.59517621587426,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-135.05637039317472,"{0: 15, 1: 9, 2: 3, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,0,-153.4570909616788,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-150.0459549096428,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-100.56390591855842,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-104.85232436868377,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-80.6111512173208,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-128.00953471726314,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-55.04137358706334,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-244.27237539493248,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 4}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-114.03829631144089,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-75.13737241478773,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",30,0,-65.7449460809831,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-85.54856256164946,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-129.12826949356753,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,3,-29.96815110136174,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,23,-1.1288847813759806,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
