trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.53031646966074,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.15651145941587,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.67027927181337,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.9325596767125,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.1275579222235,"{0: 14, 1: 3, 2: 10, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.47923357298512,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,7,-60.03984730326785,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,5,-199.90808502506977,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.60672012538471,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.9595744815696,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-232.50199532461772,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.95344458675007,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.41933151116558,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.94491300222728,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.50072180195703,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-0.4431638813933465,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,3,-193.16446563634275,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.51074494451373,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-143.31993985995055,"{0: 22, 1: 2, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,2,-121.28876703813982,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.96545813630539,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.07630239119995,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.42114685645154,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.39645085752954,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-245.75459184310446,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.8802071751291,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.00728026920694,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-263.7712533730689,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.50537284026205,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.2679500890191,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
